Uniq_SampleID	Date of Collection
ME-HETL-J0922	1/9/21
ME-HETL-J0923	1/10/21
ME-HETL-J0924	1/10/21
ME-HETL-J0925	1/10/21
ME-HETL-J0926	1/10/21
ME-HETL-J0927	1/10/21
ME-HETL-J0928	1/10/21
ME-HETL-J0929	1/10/21
ME-HETL-J0930	1/9/21
ME-HETL-J0931	1/9/21
ME-HETL-J0933	1/11/21
ME-HETL-J0934	1/12/21
ME-HETL-J0935	1/11/21
ME-HETL-J0936	1/11/21
ME-HETL-J0937	1/11/21
ME-HETL-J0938	1/10/21
ME-HETL-J0939	1/10/21
ME-HETL-J0940	1/10/21
ME-HETL-J0941	1/13/21
ME-HETL-J0942	1/13/21
ME-HETL-J0943	1/14/21
ME-HETL-J0944	1/14/21
ME-HETL-J0945	1/14/21
ME-HETL-J0948	1/4/21
ME-HETL-J0949	1/4/21
ME-HETL-J0950	1/10/21
ME-HETL-J0951	1/10/21
ME-HETL-J0952	1/10/21
ME-HETL-J0953	1/10/21
ME-HETL-J0954	1/10/21
ME-HETL-J0955	1/10/21
ME-HETL-J0956	1/10/21
ME-HETL-J0957	1/10/21
ME-HETL-J0958	1/21/21
ME-HETL-J0959	1/23/21
ME-HETL-J0961	1/21/21
ME-HETL-J0964	1/21/21
ME-HETL-J0966	1/22/21
ME-HETL-J0968	1/22/21
ME-HETL-J0969	1/22/21
ME-HETL-J0970	1/22/21
ME-HETL-J0971	1/15/21
ME-HETL-J0972	1/15/21
ME-HETL-J0973	1/22/21
ME-HETL-J0974	1/22/21
ME-HETL-J0976	1/22/21
ME-HETL-J0977	1/21/21
ME-HETL-J0978	1/21/21
ME-HETL-J0979	1/21/21
ME-HETL-J0981	1/21/21
ME-HETL-J0982	1/21/21
ME-HETL-J0983	1/21/21
ME-HETL-J0984	1/21/21
ME-HETL-J0985	1/21/21
ME-HETL-J0986	1/22/21
ME-HETL-J0987	1/22/21
ME-HETL-J0988	1/22/21
ME-HETL-J0989	1/22/21
ME-HETL-J0992	1/21/21
ME-HETL-J0993	1/21/21
ME-HETL-J0994	1/21/21
ME-HETL-J0995	1/21/21
ME-HETL-J0996	1/21/21
