Sample	Date of Collection	Pangolin	Month	Week
ME-CDCBI-CRSP_HPWF4XBQNJ7VVQUO	2021-10-21	AY.44	2021-10	2021-42
ME-CDCBI-CRSP_LANRUQA7NDHLOVK4	2021-10-20	AY.25	2021-10	2021-42
ME-CDC-ASC210095680	2021-09-25	AY.3.1	2021-9	2021-38
ME-CDC-ASC210200044	2021-09-27	AY.44	2021-9	2021-39
ME-CDC-ASC210358716	2021-10-11	AY.119	2021-10	2021-41
ME-CDC-ASC210359761	2021-10-11	AY.25.1	2021-10	2021-41
ME-CDC-ASC210359742	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-ASC210360181	2021-10-12	AY.3	2021-10	2021-41
ME-CDC-ASC210360183	2021-10-12	AY.122	2021-10	2021-41
ME-CDC-ASC210358715	2021-10-12	AY.3	2021-10	2021-41
ME-CDC-ASC210358710	2021-10-12	AY.25	2021-10	2021-41
ME-CDC-ASC210358709	2021-10-12	AY.25	2021-10	2021-41
ME-CDC-ASC210358708	2021-10-12	AY.103	2021-10	2021-41
ME-CDC-LC0330414	2021-10-08	AY.44	2021-10	2021-40
ME-CDC-LC0339168	2021-10-13	AY.39	2021-10	2021-41
ME-CDC-LC0338439	2021-10-13	AY.47	2021-10	2021-41
ME-CDC-QDX29691846	2021-10-10	AY.44	2021-10	2021-41
ME-CDC-QDX29691839	2021-10-10	AY.100	2021-10	2021-41
ME-CDC-QDX29691778	2021-10-08	AY.100	2021-10	2021-40
ME-CDC-QDX29691763	2021-10-08	AY.25	2021-10	2021-40
ME-CDC-QDX29691742	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-QDX29691759	2021-10-08	AY.25	2021-10	2021-40
ME-CDC-QDX29691828	2021-10-08	AY.25	2021-10	2021-40
ME-CDC-QDX29691770	2021-10-08	AY.26	2021-10	2021-40
ME-CDC-QDX29691757	2021-10-08	AY.100	2021-10	2021-40
ME-CDC-QDX29691764	2021-10-08	AY.25.1	2021-10	2021-40
ME-CDC-QDX29691765	2021-10-08	AY.119.2	2021-10	2021-40
ME-CDC-QDX29691752	2021-10-08	AY.103	2021-10	2021-40
ME-CDC-QDX29691751	2021-10-08	AY.39	2021-10	2021-40
